iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,109.167619,10.832381
1,SET,-0.5,1000,106.861569,13.138431
2,SET,-0.5,1000,108.517334,11.482666
3,SET,-0.5,1000,109.554982,10.445018
4,SET,-0.5,1000,108.625703,11.374297
5,SET,-0.5,1000,110.301835,9.698165
6,SET,-0.5,1000,111.659853,8.340147
7,SET,-0.5,1000,111.227030,8.772970
8,SET,-0.5,1000,111.934170,8.065830
9,SET,-0.5,1000,111.357475,8.642525
10,SET,-0.5,1000,110.989601,9.010399
11,SET,-0.5,1000,110.960653,9.039347
12,SET,-0.5,1000,111.096486,8.903514
13,SET,-0.5,1000,111.105602,8.894398
14,SET,-0.5,1000,112.449258,7.550742
15,SET,-0.5,1000,113.080329,6.919671
16,SET,-0.5,1000,114.123230,5.876770
