iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,111.941871,8.058129
1,SET,-0.1,500,111.205988,8.794012
2,SET,-0.1,500,111.356235,8.643765
3,SET,-0.1,500,111.842801,8.157199
4,SET,-0.1,500,111.550717,8.449283
5,SET,-0.1,500,110.906281,9.093719
6,SET,-0.1,500,110.646339,9.353661
7,SET,-0.1,500,112.503421,7.496579
8,SET,-0.1,500,112.145488,7.854512
9,SET,-0.1,500,112.456328,7.543672
10,SET,-0.1,500,112.356941,7.643059
11,SET,-0.1,500,112.607604,7.392396
12,SET,-0.1,500,112.770096,7.229904
13,SET,-0.1,500,111.901084,8.098916
14,SET,-0.1,500,112.790548,7.209452
15,SET,-0.1,500,113.482593,6.517407
16,SET,-0.1,500,112.994620,7.005380
17,SET,-0.1,500,112.545980,7.454020
18,SET,-0.1,500,112.775669,7.224331
19,SET,-0.1,500,112.498548,7.501452
20,SET,-0.1,500,112.929278,7.070722
21,SET,-0.1,500,112.276328,7.723672
22,SET,-0.1,500,112.183998,7.816002
23,SET,-0.1,500,111.029827,8.970173
24,SET,-0.1,500,110.742975,9.257025
25,SET,-0.1,500,111.327104,8.672896
