iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,344.815862,-224.815862
1,PROBE,0.3,200,349.380276,-229.380276
2,RESET,0.6030485773262727,5000,346.107166,-226.107166
3,RESET,1.1557361007232596,5000,342.578975,-222.578975
4,RESET,1.7999999999999998,5000,344.977897,-224.977897
5,RESET,1.7999999999999998,5000,349.931061,-229.931061
6,RESET,1.7999999999999998,5000,342.457380,-222.457380
7,RESET,1.7999999999999998,5000,335.184633,-215.184633
8,RESET,1.7999999999999998,5000,341.407115,-221.407115
9,RESET,1.7999999999999998,5000,342.058299,-222.058299
10,RESET,1.7999999999999998,5000,341.056860,-221.056860
11,RESET,1.7999999999999998,5000,339.409639,-219.409639
12,RESET,1.7999999999999998,5000,343.627251,-223.627251
13,RESET,1.7999999999999998,5000,334.366136,-214.366136
14,RESET,1.7999999999999998,5000,333.153042,-213.153042
15,RESET,1.7999999999999998,5000,327.533012,-207.533012
16,RESET,1.7999999999999998,5000,325.918210,-205.918210
17,RESET,1.7999999999999998,5000,332.682607,-212.682607
18,RESET,1.7999999999999998,5000,333.789004,-213.789004
19,RESET,1.7999999999999998,5000,317.224289,-197.224289
20,RESET,1.7999999999999998,5000,325.267270,-205.267270
21,RESET,1.7999999999999998,5000,343.068251,-223.068251
22,RESET,1.7999999999999998,5000,350.323457,-230.323457
23,RESET,1.7999999999999998,5000,340.587096,-220.587096
24,RESET,1.7999999999999998,5000,341.821310,-221.821310
25,RESET,1.7999999999999998,5000,349.032977,-229.032977
26,RESET,1.7999999999999998,5000,347.893581,-227.893581
27,RESET,1.7999999999999998,5000,317.484125,-197.484125
28,RESET,1.7999999999999998,5000,315.242325,-195.242325
29,RESET,1.7999999999999998,5000,317.382127,-197.382127
30,RESET,1.7999999999999998,5000,305.678592,-185.678592
31,RESET,1.7999999999999998,5000,312.569393,-192.569393
32,RESET,1.7999999999999998,5000,311.167990,-191.167990
33,RESET,1.7999999999999998,5000,310.002877,-190.002877
34,RESET,1.7999999999999998,5000,310.900733,-190.900733
35,RESET,1.7999999999999998,5000,314.517898,-194.517898
36,RESET,1.7999999999999998,5000,307.198984,-187.198984
37,RESET,1.7999999999999998,5000,311.001231,-191.001231
38,RESET,1.7999999999999998,5000,317.666846,-197.666846
39,RESET,1.7999999999999998,5000,312.766046,-192.766046
40,RESET,1.7999999999999998,5000,316.005494,-196.005494
41,RESET,1.7999999999999998,5000,321.676744,-201.676744
42,RESET,1.7999999999999998,5000,309.794575,-189.794575
43,RESET,1.7999999999999998,5000,305.663290,-185.663290
44,RESET,1.7999999999999998,5000,303.854482,-183.854482
45,RESET,1.7999999999999998,5000,306.721190,-186.721190
46,RESET,1.7999999999999998,5000,310.635162,-190.635162
47,RESET,1.7999999999999998,5000,310.814231,-190.814231
48,RESET,1.7999999999999998,5000,307.594871,-187.594871
49,RESET,1.7999999999999998,5000,306.596582,-186.596582
50,RESET,1.7999999999999998,5000,313.258612,-193.258612
