pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.31871528777304703,-0.4279505347276942,0.7563347913222124,True
"0,1",True,-0.505906641338261,-0.04416515047492853,0.0,False
"1,1",False,-0.2003983906560269,-0.39082268068769843,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,26.16602649010046,14.210561377834074,31.740399210128494
M2,73.90281382518835,73.83598575286224,74.6964891005841
M3,5.175474966760229,4.746725094554519,5.872804816100593
M4,7.393947163065674,7.4164243168892385,15.144556193918996
M5,2.944912204816544,2.484044528663944,2.673389716007523
M6,2.5786357949978242,2.388628909709516,2.956400593533731
M7,178.6922579485815,7.041500682144775,241.31653310319356
M8,0.6855009198100565,0.6625339996275879,30.911790454406624
M9,4.1697019274197595,4.15550810517069,4.01899709692386
M10,16.612360709681056,4.5938761837922355,78.93578384185945
M11,341.6226827435457,342.54328660149423,345.0502102907206
M12,8.227638412318095,8.439139066465247,8.154918300483821
M13,9.843736308856965,13.121400739217293,45.16620587972724
M14,7.273623265304397,4.542580020798776,5.8053758889427725
M15,4.3240660663310155,4.081692376019741,4.219504531184279
M16,12.458044972147501,13.67953681720292,13.21023030093586
