iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,7.837202,112.162798
1,PROBE,-0.3,200,7.679675,112.320325
2,SET,-1.7999999999999998,5000,101.857403,18.142597
3,SET,-0.3,1849.0985175642247,59.080577,60.919423
4,SET,-0.3,3698.197035128449,50.025759,69.974241
5,SET,-0.44378364421541383,5000,41.398887,78.601113
6,SET,-0.8432115852312293,5000,37.185898,82.814102
7,SET,-1.5441799102569844,5000,146.226400,-26.226400
8,RESET,0.3,2095.9414106846884,12.745160,107.254840
9,SET,-0.3,2815.1422408759677,19.716002,100.283998
10,SET,-0.3,4943.086589744683,19.677617,100.322383
11,SET,-0.593170390769362,5000,87.065154,32.934846
12,SET,-0.3,2788.105060991718,85.950694,34.049306
13,SET,-0.33457260731900607,5000,86.895861,33.104139
14,SET,-0.6310351189356945,5000,98.679815,21.320185
15,SET,-0.46479634166457706,5000,97.816975,22.183025
16,SET,-0.9101459518757097,5000,117.992484,2.007516
