iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,34.024862,85.975138
1,PROBE,-0.3,200,33.572323,86.427677
2,SET,-1.7999999999999998,5000,164.065197,-44.065197
3,RESET,0.3,3107.420664324591,22.308500,97.691500
4,SET,-0.3,3267.306965714724,21.977925,98.022075
5,SET,-0.39207683588576686,5000,22.066431,97.933569
6,SET,-0.7825222178306993,5000,32.964200,87.035800
7,SET,-1.0779958340774183,5000,32.288112,87.711888
8,SET,-1.7999999999999998,5000,43.695618,76.304382
9,SET,-1.7999999999999998,5000,139.766712,-19.766712
10,RESET,0.3,1830.2636771120356,19.860483,100.139517
11,SET,-0.3,2624.441346611873,20.767758,99.232242
12,SET,-0.3092775402153746,5000,23.734137,96.265863
13,SET,-0.5821246617800147,5000,62.529224,57.470776
14,SET,-0.3900464878161276,5000,73.531113,46.468887
15,SET,-0.5050516833932461,5000,80.732284,39.267716
16,SET,-0.6769590727885763,5000,82.207741,37.792259
17,SET,-1.201198860327992,5000,97.380104,22.619896
18,SET,-0.5514582509832785,5000,95.346035,24.653965
19,SET,-1.0315777417541776,5000,92.293636,27.706364
20,SET,-1.6262494253076543,5000,107.242976,12.757024
21,SET,-0.38155781170468184,5000,105.898324,14.101676
22,SET,-0.743833308862295,5000,98.308115,21.691885
23,SET,-0.9802290138302123,5000,102.404871,17.595129
24,SET,-0.9833729469169772,5000,105.707391,14.292609
25,SET,-0.9890726195940699,5000,96.184429,23.815571
26,SET,-1.0311171904092284,5000,100.877741,19.122259
27,SET,-0.9871785522974535,5000,97.650662,22.349338
28,SET,-1.4836480043622362,5000,102.515011,17.484989
29,SET,-1.1180279876704362,5000,100.723058,19.276942
30,SET,-1.7838854854761619,5000,126.580403,-6.580403
31,RESET,0.3,2261.369843304758,19.439299,100.560701
32,SET,-0.3,3999.3303077354367,20.011075,99.988925
33,SET,-0.4744929691342794,5000,28.525103,91.474897
34,SET,-0.7651344557547556,5000,39.614697,80.385303
35,SET,-1.027161346905153,5000,51.687752,68.312248
36,SET,-1.1529183708972555,5000,89.129188,30.870812
37,SET,-0.3354495236968459,5000,80.675911,39.324089
38,SET,-0.6542795117369724,5000,86.484433,33.515567
39,SET,-0.8435342081508452,5000,88.293693,31.706307
40,SET,-1.385668844774947,5000,101.745077,18.254923
41,SET,-0.5391331181274867,5000,93.933216,26.066784
42,SET,-0.8703534515816345,5000,88.203054,31.796946
43,SET,-1.2965064643691422,5000,139.707065,-19.707065
44,RESET,0.3,3348.0376920806293,19.948166,100.051834
45,SET,-0.3,4803.714113265098,18.966680,101.033320
46,SET,-0.5764456935918116,5000,28.004734,91.995266
47,SET,-0.8957831040954678,5000,45.788899,74.211101
48,SET,-0.9163069065690144,5000,119.253860,0.746140
L1,relax,0.0,0,96.080149,23.919851
L1,SET,-0.3,4893.498201374559,93.704735,26.295265
L1,LOCK,-0.6,200,95.525918,24.474082
