iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,77.125228,42.874772
1,PROBE,-0.3,200,77.381672,42.618328
2,SET,-1.5,5000,96.052631,23.947369
3,SET,-0.5728565855520911,5000,94.607560,25.392440
4,SET,-1.0893290220229914,5000,103.616747,16.383253
5,SET,-0.6142861477647156,5000,98.423687,21.576313
6,SET,-0.9811742844448517,5000,100.231837,19.768163
7,SET,-1.4111316914294194,5000,107.694505,12.305495
8,SET,-0.6329289017459243,5000,96.159796,23.840204
9,SET,-0.823621383465579,5000,95.926099,24.073901
10,SET,-1.5,5000,120.143034,-0.143034
