memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035150,92.248533
2,A,1,-0.034924,93.169123
3,A,2,-0.072869,18.616219
4,A,3,-0.033455,99.454006
5,A,4,-0.087277,7.288976
6,A,5,-0.066649,25.020304
7,A,6,-0.078413,13.764668
8,A,7,-0.093126,3.690951
9,B,8,-0.086511,7.795953
10,B,9,-0.084235,9.357493
11,B,10,-0.011539,383.316122
12,B,11,-0.082958,10.271571
13,B,12,-0.090495,5.251949
14,B,13,-0.081139,11.622854
15,B,14,-0.056329,38.763607
16,B,15,-0.081801,11.123746
