pulse,conductance_uS,node_voltage_V
0,427.65741663939036,-0.01046775330147291
1,441.24916194749784,-0.010178134411829031
2,439.1298192095165,-0.010222235086956072
3,439.7744492906087,-0.01020878081174308
4,431.0395225306279,-0.010394156333966611
5,436.39688668030357,-0.010279671060654576
6,430.4716768678575,-0.010406440672204562
7,431.94285853196266,-0.01037467390891611
8,432.05526535192377,-0.010372254717205003
9,431.24058340644876,-0.010389813686550774
10,432.5746752286499,-0.010361090742341459
11,430.8560520103045,-0.010398122222017603
12,435.52820708344467,-0.010298062866491054
13,433.3077157411849,-0.010345375910939399
14,438.1771546193509,-0.010242183503852567
15,435.6932746374823,-0.010294562970286055
16,433.06929126186856,-0.010350481991805053
17,430.6223299736377,-0.010403178729282621
18,429.8791403505396,-0.010419290149489778
19,433.96541104099816,-0.010331316837798631
20,425.2930589983883,-0.010519825411582447
21,428.50767070794836,-0.010449153286513755
22,427.122349299,-0.010479492330103849
23,429.2611895717531,-0.010432724595262517
24,435.574021951536,-0.010297091223918562
25,440.2072123276977,-0.010199768331147198
26,419.2151098435662,-0.01065609332501456
27,421.3438372385615,-0.010607967273515763
28,435.0728663335243,-0.010307729718615351
29,435.07613240273383,-0.010307660315574457
30,439.9447971799492,-0.01020523134193744
31,442.3426513657477,-0.010155528849938372
32,437.8966098652301,-0.010248072847608291
33,445.4027410501177,-0.010092798415691794
34,441.8912375414238,-0.010164848686858206
35,449.1613048870023,-0.010016802085914643
36,447.5474580342205,-0.010049292623772401
37,446.2226609839611,-0.010076121856437368
38,443.73377933675374,-0.010126914967650459
39,443.42412176603034,-0.010133270303252175
40,444.80875336629333,-0.010104914203687577
41,441.7387125317821,-0.010168001567858744
42,442.30035619940224,-0.01015640134530959
43,452.8529560217324,-0.009943264606729108
44,445.39008816627216,-0.010093056198415109
45,441.45980782331145,-0.01017377193497294
46,437.76589365317017,-0.010250819225083602
47,440.38167618527604,-0.01019613954358054
48,440.63644469729917,-0.010190845083032463
49,434.87511783624535,-0.010311933559949403
50,437.94806614151815,-0.010246992143114395
51,437.6588246327033,-0.010253069866552542
52,437.09266018316794,-0.010264987360145776
53,441.0171818612272,-0.01018294305109086
54,440.46036854222586,-0.010194503614759504
55,441.94497957511044,-0.010163738238203927
56,438.77710870950506,-0.010229611638730918
57,437.60224325945563,-0.01025425963296784
58,441.277875751693,-0.010177539528621384
59,439.13598668686603,-0.010222106195594414
60,436.03030450545435,-0.010287424371794267
61,442.9047127239413,-0.010143948456829475
62,444.53217561715326,-0.010110565594160242
63,443.69994447436534,-0.010127608998059383
64,447.1923112087671,-0.0100564708811447
65,440.1133582994255,-0.010201721531012311
66,437.0705490108598,-0.010265453351991766
67,436.9007832904514,-0.010269032565957787
68,439.4749625416935,-0.010215027085423394
69,436.70154192607214,-0.010273236407291839
70,435.6698871414844,-0.010295058706292428
71,442.81704685627403,-0.010145752935892675
72,441.93250269925426,-0.010163996020927242
73,439.72878954908595,-0.010209732624875316
74,438.0184230165934,-0.0102455148498154
75,436.73583365308014,-0.010272512632722533
76,443.25134627422983,-0.010136819773057816
77,437.06631518559186,-0.010265542584472915
78,439.24180686676004,-0.010219895213005988
79,443.3816405941302,-0.010134142798623394
80,453.2167408223876,-0.009936076434636683
81,443.6090966487079,-0.010129472965443349
82,447.47923441975524,-0.010050670769870122
83,449.9505995157325,-0.01000098810731131
84,445.48305326619374,-0.01009116248687076
85,451.2485671567018,-0.009975090858338325
86,445.6106328458006,-0.010088564830197358
87,432.2355020503052,-0.010368378061635158
88,441.9752146299936,-0.010163113610835897
89,438.10486224787235,-0.01024370045603207
90,445.35553935249163,-0.01009376014354416
91,441.2654326910934,-0.010177797311344697
92,446.68548778342347,-0.010066732616476644
93,445.5336876796898,-0.010090131355977501
94,447.9458843065981,-0.010041251785749014
95,448.3710509182931,-0.01003268546755887
96,449.19935150904803,-0.010016038652464827
97,451.12504030172687,-0.009977549708929941
98,455.3305333090027,-0.009894513927862279
99,451.9055762721482,-0.009962033171930432
100,454.3884332695078,-0.009912994966179907
