memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.031796,107.254408
2,A,1,-0.031076,110.896418
3,A,2,-0.076158,15.652863
4,A,3,-0.060348,32.853039
5,A,4,-0.089146,6.087866
6,A,5,-0.064821,27.135283
7,A,6,-0.078816,13.439131
8,A,7,-0.093444,3.507731
9,B,8,-0.086438,7.845143
10,B,9,-0.083915,9.583773
11,B,10,-0.011449,386.707895
12,B,11,-0.083225,10.078113
13,B,12,-0.090521,5.235664
14,B,13,-0.081000,11.728439
15,B,14,-0.058078,36.091793
16,B,15,-0.082250,10.790215
