pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.13549880287686816,-0.111646569572596,0.7194601044241575,True
"0,1",True,-0.1367411309669461,-0.11429120516920702,0.0,False
"1,1",False,-0.001754668761183402,-0.15816509105885876,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,21.27688001698196,20.056989862132074,12.570608890657947
M2,65.30319889101132,65.85120297715794,69.03301145843294
M3,4.403660802983499,3.5685308562523423,4.215317832342871
M4,5.731551726380716,5.334037569315828,6.236505717995757
M5,1.9678204514504913,2.39345579190929,2.4485342653677113
M6,1.3118066873997176,1.3377455538945657,2.609722577532506
M7,58.98890961324731,6.839389164342243,171.82923190464763
M8,-0.7540364770014623,-0.6706999185618998,-0.17934087271307106
M9,2.876576050117936,2.8641530822516565,3.3754184292331755
M10,2.98561879544633,2.7739173989870483,14.625744927185156
M11,266.7656514145494,261.8685576129534,285.70231163538807
M12,4.66184613301035,5.406623161195525,6.109399893765279
M13,2.5629284856977192,2.4281385160078743,9.877656135109916
M14,10.033447787175247,6.690110465932709,9.267062892929866
M15,1.9504713432744698,1.9644228826147654,2.8951208945205664
M16,4.7127511238744235,6.623379071925896,7.656818505103456
