iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,111.750444,8.249556
1,PROBE,-0.3,200,113.803643,6.196357
2,SET,-0.3,603.5809319026729,113.079959,6.920041
3,SET,-0.3,1207.1618638053458,113.835540,6.164460
4,SET,-0.3,1938.9963265980518,115.348750,4.651250
5,SET,-0.3,2349.347192150184,115.384020,4.615980
6,SET,-0.3,4627.97134084872,114.936667,5.063333
7,SET,-0.5553565609018463,5000,114.730992,5.269008
8,SET,-0.8,5000,126.501307,-6.501307
9,RESET,0.3,4910.0771376037355,17.781185,102.218815
10,SET,-0.5227176278708584,5000,21.479204,98.520796
11,SET,-0.8,5000,63.115366,56.884634
12,SET,-0.4687130757471411,5000,61.493594,58.506406
13,SET,-0.8,5000,121.806266,-1.806266
