memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.034083,96.701706
2,A,1,-0.032161,105.468854
3,A,2,-0.050382,49.242475
4,A,3,-0.061146,31.772133
5,A,4,-0.088962,6.203753
6,A,5,-0.066591,25.085232
7,A,6,-0.078550,13.653558
8,A,7,-0.093087,3.713412
9,B,8,-0.086232,7.983076
10,B,9,-0.083578,9.824457
11,B,10,-0.011732,376.201395
12,B,11,-0.082949,10.277680
13,B,12,-0.090447,5.281021
14,B,13,-0.081002,11.726686
15,B,14,-0.057504,36.950640
16,B,15,-0.082107,10.896052
