memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035524,90.751265
2,A,1,-0.034396,95.364649
3,A,2,-0.071956,19.486998
4,A,3,-0.040364,73.872121
5,A,4,-0.086920,7.524161
6,A,5,-0.067301,24.292756
7,A,6,-0.078104,14.017146
8,A,7,-0.093198,3.649210
9,B,8,-0.086177,8.020380
10,B,9,-0.083762,9.693049
11,B,10,-0.011348,390.592724
12,B,11,-0.082754,10.420391
13,B,12,-0.090214,5.423783
14,B,13,-0.080919,11.790224
15,B,14,-0.056925,37.835423
16,B,15,-0.082375,10.698046
