iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,34.737933,85.262067
1,PROBE,-0.3,200,33.619164,86.380836
2,SET,-0.9265275038917811,5000,41.010753,78.989247
3,SET,-1.3402846167712157,5000,59.280665,60.719335
4,SET,-1.0133874850234423,5000,70.197129,49.802871
5,SET,-1.0342695079747797,5000,70.092956,49.907044
6,SET,-1.7999999999999998,5000,62.871122,57.128878
7,SET,-1.7999999999999998,5000,74.143051,45.856949
8,SET,-1.4856189106257063,5000,65.943006,54.056994
9,SET,-1.7999999999999998,5000,82.065246,37.934754
10,SET,-0.9158431719797382,5000,86.732273,33.267727
11,SET,-1.1677529523651475,5000,109.319326,10.680674
12,SET,-0.3,3430.587993613795,94.936519,25.063481
13,SET,-0.4116705592336554,5000,93.506476,26.493524
14,SET,-0.8071242478944057,5000,96.610846,23.389154
15,SET,-1.0835212564144403,5000,108.788936,11.211064
16,SET,-0.3606010320302743,5000,102.933724,17.066276
17,SET,-0.6744588998762767,5000,106.584887,13.415113
18,SET,-0.715965328717341,5000,108.911506,11.088494
19,SET,-0.8371045448585135,5000,114.596166,5.403834
20,SET,-0.33569278689811766,5000,116.607030,3.392970
21,SET,-0.3,4960.388112384805,117.609954,2.390046
L1,relax,0.0,0,117.740886,2.259114
