memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035653,90.241969
2,A,1,-0.034827,93.566899
3,A,2,-0.073320,18.194458
4,A,3,-0.046394,57.771944
5,A,4,-0.040353,73.905835
6,A,5,-0.069884,21.547021
7,A,6,-0.078614,13.602137
8,A,7,-0.051924,46.293902
9,B,8,-0.064676,27.308134
10,B,9,-0.038852,78.693173
11,B,10,-0.009123,498.078435
12,B,11,-0.047080,56.202547
13,B,12,-0.057281,37.289483
14,B,13,-0.072913,18.575249
15,B,14,-0.055967,39.338615
16,B,15,-0.055181,40.610997
