iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,18.458615,101.541385
1,PROBE,-0.3,200,19.759102,100.240898
2,SET,-0.9249539819355586,5000,34.783964,85.216036
3,SET,-1.0755743257790733,5000,32.684250,87.315750
4,SET,-1.5,5000,31.283830,88.716170
5,SET,-1.5,5000,85.463896,34.536104
6,SET,-0.337776085438328,5000,82.326948,37.673052
7,SET,-0.6685424430717541,5000,34.630511,85.369489
8,SET,-0.7928840572105665,5000,90.852206,29.147794
9,SET,-0.3,3292.696422573532,89.009877,30.990123
10,SET,-0.39512357070882387,5000,84.370675,35.629325
11,SET,-0.7589146077946589,5000,95.509154,24.490846
12,SET,-0.5825882662508234,5000,100.146304,19.853696
13,SET,-0.6906213840843526,5000,108.565912,11.434088
14,SET,-0.4025169726941408,5000,108.330232,11.669768
15,SET,-0.7995161884286921,5000,120.150387,-0.150387
