memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035283,91.709314
2,A,1,-0.034223,96.102424
3,A,2,-0.073169,18.334554
4,A,3,-0.044339,62.768658
5,A,4,-0.038446,80.052463
6,A,5,-0.069656,21.781813
7,A,6,-0.039428,76.814107
8,A,7,-0.050111,49.779160
9,B,8,-0.064414,27.622407
10,B,9,-0.038715,79.149937
11,B,10,-0.009449,479.153974
12,B,11,-0.042302,68.198009
13,B,12,-0.051508,47.072407
14,B,13,-0.073475,18.050131
15,B,14,-0.056219,38.937870
16,B,15,-0.049659,50.687475
