pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.07299193787178582,-0.7833505735044632,0.041024935099834986,True
"0,1",True,-0.1757503528026401,0.05877680335493081,0.7231168018051022,True
"1,1",False,-0.06616499275872252,-0.645670477002043,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,10.611919409779247,5.137987597298441,11.484080339745832
M2,81.30971297782803,81.30026234028603,82.00606961966531
M3,8.757061289555601,6.2995251505395995,10.95004386496664
M4,19.221656946948038,6.158956229555871,250.8425848594145
M5,3.375844695857075,2.8551797564677095,3.4258011261830363
M6,4.314677979944439,4.01854539989031,4.107576365857784
M7,20.6276111511826,13.914459768031294,22.33006850215138
M8,5.664201287032421,5.23463921128551,5.293778808098469
M9,6.602509573538322,6.360953883756537,6.438355841816017
M10,7.8993956533758745,7.576122927459262,6.768611481459537
M11,465.13746816006966,483.7696726135716,452.5219739811983
M12,6.96279827695056,7.053358311186085,6.606059559225616
M13,9.212827083253673,4.825185305481761,15.853041704221486
M14,299.86754678004826,6.935602735852949,310.0615352029766
M15,20.292363785998212,17.989805733904365,18.755264753429405
M16,78.39659264027864,54.18427302088144,57.77602354653237
