iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,17.730828,102.269172
1,SET,-0.3,1000,17.415142,102.584858
2,SET,-0.3,1000,17.257767,102.742233
3,SET,-0.3,1000,17.476466,102.523534
4,SET,-0.3,1000,17.528744,102.471256
5,SET,-0.3,1000,17.488358,102.511642
6,SET,-0.3,1000,17.490463,102.509537
7,SET,-0.3,1000,18.036183,101.963817
8,SET,-0.3,1000,17.413068,102.586932
9,SET,-0.3,1000,17.569468,102.430532
10,SET,-0.3,1000,17.651146,102.348854
11,SET,-0.3,1000,17.723920,102.276080
12,SET,-0.3,1000,17.531567,102.468433
13,SET,-0.3,1000,17.712828,102.287172
14,SET,-0.3,1000,17.781432,102.218568
15,SET,-0.3,1000,17.845205,102.154795
16,SET,-0.3,1000,17.733496,102.266504
17,SET,-0.3,1000,17.363923,102.636077
