pulse,conductance_uS,node_voltage_V
0,464.42611898204234,-0.009719568691212859
1,462.6939828757784,-0.009752406244275078
2,466.905937883342,-0.00967293976245331
3,467.9401043911554,-0.009653625887644977
4,466.59723363431647,-0.009678720044287634
5,465.74030539610993,-0.00969480172033441
6,467.5690703701274,-0.009660546362293958
7,468.76060272240306,-0.009638357218648655
8,471.74576094507853,-0.009583211545299598
9,473.7370763214855,-0.009546774948831101
10,467.6774551224837,-0.009658523759387954
11,472.10064704171197,-0.009576697574175841
12,469.88580638595704,-0.009617496647500431
13,471.87696395102535,-0.009580802268308621
14,469.45846777169686,-0.009625408594162162
15,472.7051168462761,-0.009565622831793446
16,468.76060272240306,-0.009638357218648655
17,466.6665673039721,-0.009677421215950933
18,467.3699520406169,-0.009664264382341765
19,465.6406386063497,-0.009696675602438504
20,471.19198058076074,-0.009593393962870522
21,472.9235459230774,-0.00956162719958207
22,469.70418193035243,-0.00962085773762365
23,469.40175634612615,-0.009626459554495675
24,474.57387627866024,-0.009531545938715288
25,474.8009699721406,-0.009527421415142255
26,468.985894554431,-0.009634173206754856
27,470.4620574913399,-0.009606848238083516
28,472.6872386770617,-0.009565950017557653
29,470.22689587235504,-0.009611190885499353
30,471.7727520575168,-0.009582715809293225
31,473.05805457731594,-0.009559168348990454
32,473.0114026105099,-0.009560021014921417
33,473.6522381426817,-0.009548321645170988
34,473.312074019161,-0.009554528259970791
35,472.6650281097842,-0.00956635652108288
36,469.88044691527585,-0.009617595794701707
37,471.5078202099461,-0.009587583936875817
38,474.0560090554834,-0.009540964922836397
39,474.7409020392538,-0.009528512034356281
40,474.52095239702413,-0.009532507666567654
41,475.58529747392026,-0.009513203706479446
42,469.6725847386891,-0.00962144270611117
43,474.0679902046479,-0.009540746798993593
44,473.5505773086014,-0.00955017569783483
45,472.25312070640126,-0.009573901623099894
46,474.8009699721406,-0.009527421415142255
47,473.3278226583304,-0.009554240733087097
48,474.0227914615663,-0.009541569720764174
49,477.1924188953946,-0.009484203150106563
50,474.07016865426357,-0.009540707140113083
51,479.3683799460859,-0.0094452184705653
52,477.7910666871645,-0.009473445678768243
53,473.96235713355543,-0.009542670254698325
54,475.0987822494552,-0.00952201789267278
55,480.47371216671223,-0.00942553775111225
56,479.4928820230096,-0.009442997573256746
57,478.06408140963373,-0.009468547807025267
58,478.26321749071525,-0.009464978507779373
59,479.6680621843121,-0.009439874436416591
60,481.5455693865985,-0.009406531232627864
61,479.0218612587398,-0.00945140525592485
62,478.5217651347124,-0.009460348333479841
63,476.9643525568853,-0.00948830784423934
64,476.01455031929953,-0.009505440480619628
65,474.945735570641,-0.009524794014308474
66,482.47048840045665,-0.009390191773857776
67,478.49794824239706,-0.00946077466644532
68,485.4112773646705,-0.009338615399754613
69,474.6104381860536,-0.009530881652466749
70,479.88733965188965,-0.009435968036686362
71,475.6340533722865,-0.009512321296388102
72,478.62647414274545,-0.009458474451375747
73,478.16031176615485,-0.009466822645723086
74,478.1995882521769,-0.009466118700594033
75,475.44401125084136,-0.00951576170427234
76,476.75574012803685,-0.009492065523167656
77,476.6330717215425,-0.009494276505756086
78,475.8615177723009,-0.009508206687535197
79,476.3379117073958,-0.009499600710464542
80,475.97011234043225,-0.009506243572949956
81,480.01375709376583,-0.009433717395217422
82,479.958059158204,-0.009434708867230173
83,478.4935174294884,-0.009460853984206343
84,479.9051569613335,-0.009435650765642283
85,481.49347009245946,-0.00940745330159972
86,482.90318217922436,-0.009382567354079743
87,479.82554514502556,-0.009437068570620512
88,482.0474776911922,-0.00939765755811377
89,478.733996389263,-0.009456550995671015
90,477.3048720292677,-0.009482180547200555
91,481.0026699428659,-0.009416148511151523
92,479.8851125724546,-0.009436007695566871
93,478.1392929479086,-0.009467199405087931
94,481.72771705556187,-0.009403308948586434
95,479.6213361417183,-0.009440707272907297
96,477.380418956931,-0.009480822230543091
97,478.51401056200655,-0.009460487139561626
98,474.3213563531058,-0.009536136454134314
99,475.95146159883484,-0.009506580673434288
100,483.2119550995727,-0.009377134087449883
