pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.0012659553701806561,-0.6214694011204129,0.6727785076886101,True
"0,1",True,-0.5384705521575872,7.938372809414285e-05,0.15241397377919091,True
"1,1",False,-0.45120498345972243,-0.5112300863067524,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,6.8964521954522215,6.087393623528489,7.754862861218992
M2,80.85841867005037,80.62223040878416,81.15188201373455
M3,12.298289812358597,5.93972990659583,9.48644490999789
M4,17.048834347734907,8.926531143062617,19.667827724670538
M5,3.470113642737571,2.9708237686110373,3.8531396127800552
M6,6.47306274370936,5.461566698096771,5.75768007226792
M7,14.75453874744602,36.30339756575992,199.04291655639582
M8,3.4550913048144514,5.284566618963969,5.592252812182876
M9,13.307206823837022,9.116639087709384,7.719096930220659
M10,12.252947266011937,10.215404100237986,9.844730530257827
M11,447.8260495434309,447.63385000608247,453.20642810407674
M12,11.314748210021085,7.826158146390125,7.682266295980025
M13,5.269009472632982,5.322364524014364,77.63883769387469
M14,19.10221393930596,8.620623842156641,129.03146442826292
M15,11.073547822770877,8.533056807516544,7.550908248531036
M16,15.272518512346208,58.4491439225936,66.88393929699724
