pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.003821659599223884,-0.053016346678453306,0.04648744381044335,True
"0,1",True,-0.15382419290424681,0.00858472063901862,0.030521212202959738,True
"1,1",False,-0.10209371623884737,-0.029335580579486,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,23.153257589262374,11.620234472389606,10.626538877611647
M2,81.88464413763566,81.4873469182586,81.2182998791474
M3,8.038412122657435,7.357636777544034,7.4626763185778495
M4,12.151460443778642,11.397135090891146,13.371575423807958
M5,3.719876150355582,3.8433369234685086,3.9192840624117187
M6,4.375976831779373,4.508576551357605,4.791246339195322
M7,8.909758810664725,8.941029510327214,12.75751240354954
M8,3.0340847913921696,3.0543303625023834,3.2156800636652494
M9,10.198431624059218,9.492766431464869,10.545205961417615
M10,7.500036983679753,7.287953204138259,7.122288429635295
M11,436.9091097929602,429.72060698714495,434.0332125381565
M12,10.517024755523277,10.981362389348906,11.194940648199022
M13,8.968985129922293,5.489696341745399,14.509884431226736
M14,8.50829538745728,7.827699824372221,8.33012708403702
M15,11.386323915639933,10.413335729300133,10.18636174260993
M16,16.143868975551342,68.00714329067823,56.02306963433766
