iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,14.507904,105.492096
1,PROBE,-0.3,200,14.020342,105.979658
2,SET,-1.7999999999999998,5000,294.950893,-174.950893
3,RESET,0.3581150402425893,5000,15.998448,104.001552
4,SET,-0.3,2444.1494563904284,76.141955,43.858045
5,SET,-0.3,1306.1083742182516,74.843569,45.156431
6,SET,-0.3,2612.216748436503,73.910100,46.089900
7,SET,-0.3134660098123804,5000,72.257768,47.742232
8,SET,-0.6259595889900272,5000,177.480011,-57.480011
9,RESET,0.3,4487.001768913538,15.576746,104.423254
10,SET,-0.3,4271.495376760616,55.138519,64.861481
11,SET,-0.3,3848.393416681865,56.268898,63.731102
12,SET,-0.44598656417913446,5000,62.654215,57.345785
13,SET,-0.6985570326023526,5000,193.265976,-73.265976
14,RESET,0.3,4719.55101487181,14.909005,105.090995
15,SET,-0.3,3942.266133673214,108.797942,11.202058
16,SET,-0.3,443.8788778790097,80.306780,39.693220
17,SET,-0.3,887.7577557580194,91.628710,28.371290
18,SET,-0.3,987.4256017304289,72.544048,47.455952
19,SET,-0.3,1974.8512034608573,71.086087,48.913913
20,SET,-0.3,3949.7024069217146,78.565659,41.434341
21,SET,-0.3482387688279786,5000,79.014948,40.985052
22,SET,-0.6803616605020998,5000,158.503399,-38.503399
23,RESET,0.3,3946.618487207367,14.887226,105.112774
24,SET,-0.3,4555.688450264365,78.443472,41.556528
25,SET,-0.3,2244.853203980858,61.112114,58.887886
26,SET,-0.3,4489.706407961716,58.103496,61.896504
27,SET,-0.5387647689554059,5000,127.483540,-7.483540
28,RESET,0.3,720.6394130497833,15.526662,104.473338
29,SET,-0.3,1260.67216678913,55.623826,64.376174
30,SET,-0.3,1122.735964173787,64.870149,55.129851
31,SET,-0.3,1681.449805683655,63.722604,56.277396
32,SET,-0.3,3362.89961136731,67.280945,52.719055
33,SET,-0.35555117538728814,5000,76.885243,43.114757
34,SET,-0.4782862899580269,5000,103.867714,16.132286
35,SET,-0.3,2986.0367324986123,106.243273,13.756727
36,SET,-0.3,4438.992436660151,105.954769,14.045231
37,SET,-0.5326790923992181,5000,114.803822,5.196178
38,SET,-0.3,3100.49261750185,109.849317,10.150683
39,SET,-0.372059114100222,5000,114.474174,5.525826
40,SET,-0.3,4313.819176196254,116.653419,3.346581
41,SET,-0.3,3747.2847577434386,118.520486,1.479514
