iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,4.937422,115.062578
1,PROBE,-0.3,200,8.041567,111.958433
2,SET,-0.4328088329001494,5000,82.105334,37.894666
3,SET,-0.3,2498.537619451443,81.591751,38.408249
4,SET,-0.3,4997.075238902886,80.882588,39.117412
5,SET,-0.5996490286683464,5000,109.025533,10.974467
6,SET,-0.3,2300.0952163101188,108.696633,11.303367
7,SET,-0.3,4600.1904326202375,111.238223,8.761777
8,SET,-0.3493474688273341,5000,110.691517,9.308483
9,SET,-0.6920094859247076,5000,114.522605,5.477395
10,SET,-0.41777611481604987,5000,123.999835,-3.999835
11,RESET,0.3,2982.6183836274763,8.293832,111.706168
12,SET,-0.3339956131703076,5000,14.078502,105.921498
13,SET,-0.5988727609901069,5000,113.757177,6.242823
14,SET,-0.3,408.7246021568097,105.056198,14.943802
15,SET,-0.3,817.4492043136194,105.997298,14.002702
16,SET,-0.3,1441.1794651614412,105.256249,14.743751
17,SET,-0.3,2882.3589303228823,101.135376,18.864624
18,SET,-0.3458830716387459,5000,103.737039,16.262961
