iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,73.188063,46.811937
1,PROBE,-0.3,200,73.199115,46.800885
2,SET,-1.7999999999999998,5000,96.624367,23.375633
3,SET,-0.5917494458108087,5000,97.848313,22.151687
4,SET,-1.0165426631441783,5000,96.620784,23.379216
5,SET,-1.7999999999999998,5000,89.435867,30.564133
6,SET,-1.6569874487248553,5000,90.691068,29.308932
7,SET,-1.7999999999999998,5000,99.593570,20.406430
8,SET,-0.9956830327208602,5000,100.620127,19.379873
9,SET,-1.6206100287441096,5000,100.418907,19.581093
10,SET,-1.7999999999999998,5000,102.775586,17.224414
11,SET,-1.7999999999999998,5000,98.716524,21.283476
12,SET,-1.7999999999999998,5000,100.123449,19.876551
13,SET,-1.7999999999999998,5000,105.850547,14.149453
14,SET,-1.0643078000392665,5000,103.694468,16.305532
15,SET,-1.592224956529729,5000,105.062734,14.937266
16,SET,-1.7999999999999998,5000,104.241812,15.758188
17,SET,-1.7999999999999998,5000,102.954193,17.045807
18,SET,-1.7999999999999998,5000,101.610045,18.389955
19,SET,-1.7999999999999998,5000,96.458655,23.541345
20,SET,-1.7999999999999998,5000,98.532829,21.467171
21,SET,-1.7999999999999998,5000,102.631133,17.368867
22,SET,-1.540073031064739,5000,106.922915,13.077085
23,SET,-1.0222905333327095,5000,104.441422,15.558578
24,SET,-1.4772959833401902,5000,103.925894,16.074106
25,SET,-1.7999999999999998,5000,108.207266,11.792734
26,SET,-1.1563573698130305,5000,107.510422,12.489578
27,SET,-1.7999999999999998,5000,111.003436,8.996564
28,SET,-1.0049850272473724,5000,112.689334,7.310666
29,SET,-1.003413040604329,5000,109.238178,10.761822
30,SET,-1.145505142479693,5000,107.855677,12.144323
31,SET,-1.7345111964577644,5000,109.202664,10.797336
32,SET,-1.7999999999999998,5000,111.487097,8.512903
33,SET,-1.2743346305602177,5000,109.436714,10.563286
34,SET,-1.5632079429535604,5000,106.351950,13.648050
35,SET,-1.6018848874529774,5000,107.222668,12.777332
36,SET,-1.7999999999999998,5000,107.444779,12.555221
37,SET,-1.7999999999999998,5000,106.409937,13.590063
38,SET,-1.7999999999999998,5000,106.899954,13.100046
39,SET,-1.7999999999999998,5000,110.008119,9.991881
40,SET,-1.5556339065061013,5000,106.179601,13.820399
41,SET,-1.4407689688680125,5000,105.929532,14.070468
42,SET,-1.7999999999999998,5000,105.195960,14.804040
43,SET,-1.7999999999999998,5000,105.935226,14.064774
44,SET,-1.7999999999999998,5000,104.379305,15.620695
45,SET,-1.7999999999999998,5000,104.700032,15.299968
46,SET,-1.7999999999999998,5000,107.264321,12.735679
47,SET,-1.7999999999999998,5000,107.639851,12.360149
48,SET,-1.7999999999999998,5000,107.783274,12.216726
49,SET,-1.7999999999999998,5000,110.388716,9.611284
50,SET,-1.7999999999999998,5000,107.598886,12.401114
