iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,25.521814,94.478186
1,PROBE,-0.3,200,23.457061,96.542939
2,SET,-0.5610915501836399,5000,27.097369,92.902631
3,SET,-1.0087307725640036,5000,27.689981,92.310019
4,SET,-1.5,5000,33.874659,86.125341
5,SET,-1.5,5000,32.688211,87.311789
6,SET,-1.5,5000,29.284590,90.715410
7,SET,-1.5,5000,23.066792,96.933208
8,SET,-1.5,5000,30.177172,89.822828
9,SET,-1.5,5000,25.998132,94.001868
10,SET,-1.5,5000,31.873241,88.126759
11,SET,-1.5,5000,40.931718,79.068282
12,SET,-1.5,5000,38.832557,81.167443
13,SET,-1.5,5000,33.837376,86.162624
14,SET,-1.5,5000,39.690022,80.309978
15,SET,-1.5,5000,47.925687,72.074313
16,SET,-1.5,5000,36.897745,83.102255
17,SET,-1.5,5000,40.873511,79.126489
18,SET,-1.5,5000,40.056257,79.943743
19,SET,-1.5,5000,84.267645,35.732355
20,SET,-0.44813364633955094,5000,41.007844,78.992156
21,SET,-0.7054909737550493,5000,35.888083,84.111917
22,SET,-1.3037221111324033,5000,30.228648,89.771352
23,SET,-1.5,5000,34.600151,85.399849
24,SET,-1.5,5000,33.220305,86.779695
25,SET,-1.5,5000,26.938461,93.061539
26,SET,-1.5,5000,32.172256,87.827744
27,SET,-1.5,5000,50.139125,69.860875
