iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,28.471476,91.528524
1,PROBE,-0.3,200,28.819050,91.180950
2,SET,-1.7999999999999998,5000,92.279014,27.720986
3,SET,-0.3,3842.1683748032115,94.189317,25.810683
4,SET,-0.40161190635000404,5000,91.286095,28.713905
5,SET,-0.7766273377835506,5000,111.254836,8.745164
6,SET,-0.3,2815.5249029593983,107.049374,12.950626
7,SET,-0.3378629883551278,5000,105.027675,14.972325
8,SET,-0.6644032083535263,5000,104.164668,15.835332
9,SET,-1.246303072623798,5000,127.482102,-7.482102
10,RESET,0.3,2757.952936727769,11.755816,108.244184
11,SET,-0.3,4845.974684388098,18.836240,101.163760
12,SET,-0.5101117848772149,5000,29.173648,90.826352
13,SET,-0.7803793641262942,5000,42.121644,77.878356
14,SET,-0.9762408673616827,5000,112.733672,7.266328
15,SET,-0.3,768.5645604465591,113.495322,6.504678
16,SET,-0.3,1245.4607212614535,110.141789,9.858211
17,SET,-0.3,2490.9214425229065,108.147889,11.852111
18,SET,-0.3,4981.842885045813,106.361943,13.638057
19,SET,-0.5978211462054976,5000,104.592643,15.407357
20,SET,-1.073286844927925,5000,139.117196,-19.117196
21,RESET,0.3,4923.160738942998,13.437478,106.562522
22,SET,-0.43478088810123516,5000,18.578162,101.421838
23,SET,-0.773532331266902,5000,47.194824,72.805176
24,SET,-0.6428597710164682,5000,51.185423,68.814577
25,SET,-1.0875130346288204,5000,61.313774,58.686226
26,SET,-1.209549126572705,5000,75.910351,44.089649
27,SET,-0.9074338971541702,5000,81.207255,38.792745
28,SET,-1.1712163050709516,5000,123.608606,-3.608606
29,RESET,0.3,689.4827222031753,20.857775,99.142225
30,SET,-0.3,1285.3932401010163,17.091960,102.908040
31,SET,-0.3,2570.7864802020326,18.857656,101.142344
32,SET,-0.3,4968.111008605247,24.378674,95.621326
33,SET,-0.5344560914226746,5000,60.455592,59.544408
34,SET,-0.3980643810707524,5000,58.587023,61.412977
35,SET,-0.7882886142772052,5000,135.353234,-15.353234
36,RESET,0.3,1533.2041236214088,23.816745,96.183255
37,SET,-0.3,2324.357866330423,25.854039,94.145961
38,SET,-0.3,4455.868168369955,33.260493,86.739507
39,SET,-0.4567097346327498,5000,43.284294,76.715706
40,SET,-0.6870003235099976,5000,97.844366,22.155634
41,SET,-0.3,2515.959802078996,96.611144,23.388856
42,SET,-0.3019151762494795,5000,96.374770,23.625230
43,SET,-0.6037917869560494,5000,135.101890,-15.101890
44,RESET,0.3,2992.514483100177,14.970652,105.029348
45,SET,-0.3,4648.296626908737,20.195760,99.804240
46,SET,-0.5049262216007094,5000,33.911471,86.088529
47,SET,-0.7074410581410905,5000,48.628388,71.371612
48,SET,-0.8359953875043479,5000,64.309297,55.690703
49,SET,-0.809205547822361,5000,121.289191,-1.289191
