memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.034879,93.352789
2,A,1,-0.033915,97.425545
3,A,2,-0.067293,24.302296
4,A,3,-0.039315,77.178032
5,A,4,-0.087370,7.228104
6,A,5,-0.067404,24.179107
7,A,6,-0.078410,13.767153
8,A,7,-0.093016,3.754393
9,B,8,-0.086288,7.945773
10,B,9,-0.084058,9.482697
11,B,10,-0.011726,376.417623
12,B,11,-0.082786,10.396331
13,B,12,-0.090077,5.507939
14,B,13,-0.080736,11.930529
15,B,14,-0.057687,36.674276
16,B,15,-0.082156,10.859601
