iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,41.211577,78.788423
1,PROBE,-0.3,200,36.574499,83.425501
2,SET,-0.3,3598.1927590909477,37.920305,82.079695
3,SET,-0.4180733891564757,5000,54.481036,65.518964
4,SET,-0.5209616021351334,5000,67.810683,52.189317
5,SET,-0.6132791515143814,5000,85.640213,34.359787
6,SET,-0.47546741135415005,5000,81.554755,38.445245
7,SET,-0.895288516365648,5000,105.825537,14.174463
8,SET,-0.3,3815.1285696757873,99.531120,20.468880
9,SET,-0.45781542836109446,5000,99.534048,20.465952
10,SET,-0.915300041329536,5000,116.398268,3.601732
11,SET,-0.3,1527.959500166395,110.680604,9.319396
12,SET,-0.3,3055.91900033279,111.336142,8.663858
13,SET,-0.31851102011783095,5000,115.729973,4.270027
14,SET,-0.3,3401.282474980731,113.072308,6.927692
15,SET,-0.40815389699768767,5000,115.604009,4.395991
16,SET,-0.34597428003628045,5000,112.118887,7.881113
17,SET,-0.648032731044764,5000,109.573270,10.426730
18,SET,-1.0100001686098652,5000,107.519185,12.480815
19,SET,-1.4537556237073888,5000,117.973745,2.026255
L1,relax,0.0,0,110.175228,9.824772
