iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,23.670404,96.329596
1,PROBE,-0.3,200,25.085019,94.914981
2,SET,-0.8051515897657634,5000,110.550995,9.449005
3,SET,-0.3,781.9993949858565,109.993591,10.006409
4,SET,-0.3,1563.998789971713,109.817635,10.182365
5,SET,-0.3,3127.997579943426,110.366463,9.633537
6,SET,-0.3369654589547291,5000,110.747949,9.252051
7,SET,-0.6196806052674287,5000,108.810802,11.189198
8,SET,-1.0463301198705692,5000,110.009389,9.990611
9,SET,-1.3602808008370768,5000,109.714768,10.285232
10,SET,-1.5,5000,107.363760,12.636240
11,SET,-1.5,5000,172.158888,-52.158888
12,RESET,0.4699342784237672,5000,19.339585,100.660415
13,SET,-0.3245071236088078,5000,19.257988,100.742012
14,SET,-0.6489713074796338,5000,19.487056,100.512944
