pulse,conductance_uS,node_voltage_V
0,508.885322471991,-0.008946379156791293
1,507.21922197374334,-0.00897312907169524
2,510.7253391056415,-0.008917021670493817
3,500.41078258215657,-0.009084124363522402
4,500.9008190661014,-0.009076043866618505
5,501.0633549170227,-0.009073366892184083
6,496.3866476001697,-0.00915102889494265
7,500.18919989975836,-0.009087782895249443
8,503.5803965862247,-0.009032111741733632
9,506.2904638528815,-0.008988110213807868
10,510.1293190401719,-0.00892651005765582
11,515.6550055097381,-0.008839310094134616
12,512.0971889405535,-0.008895258859813997
13,510.52029472249,-0.00892028361341576
14,512.4250487725689,-0.008890073461187323
15,503.3787217573333,-0.009035403428815956
16,498.73682938922946,-0.009111836006278715
17,503.61868280218596,-0.009031487114365602
18,504.6599065802607,-0.009014532942947604
19,505.78467112217976,-0.00899628985791304
20,508.7874778608529,-0.008947945682571436
21,508.2252265686506,-0.008956958163167317
22,500.37474072737,-0.009084719246730051
23,506.19597933829976,-0.008989637080707498
24,505.1257641440957,-0.009006968011490337
25,507.1336541004662,-0.00897450721779296
26,501.14526115389424,-0.009072018490246747
27,499.4710350614126,-0.009099660729962166
28,496.784158440468,-0.009144376117737111
29,494.1850827683789,-0.009188050459898671
30,494.3436794282175,-0.009185373485464249
31,495.73978287541513,-0.009161875598762116
32,494.13341197212645,-0.00918892295526989
33,495.93179020801125,-0.009158653314720686
34,486.9990807053483,-0.009311002904199575
35,495.4776895076743,-0.00916627773449872
36,501.30492782880276,-0.009069391089412963
37,503.98418755917606,-0.009025528367568984
38,512.6760602263631,-0.00888610757313633
39,514.0309871950919,-0.008864761180701862
40,512.5599395855367,-0.008887941796359915
41,505.951327790495,-0.008993593054038362
42,498.03316849483855,-0.009123535376029144
43,489.4109269150173,-0.009269370994384279
44,504.08400979409936,-0.009023902353468075
45,509.57926716864023,-0.008935284584968641
46,500.31648304488294,-0.009085680974582417
47,513.1517131627677,-0.008878602129999826
48,514.0454967934777,-0.00886453314213893
49,514.6018399995958,-0.008855798273706618
50,509.6264608551843,-0.00893453106623895
51,512.5072303578593,-0.008888774632850621
52,504.5202407669356,-0.0090168034138568
53,512.0808999547694,-0.00889551664253731
54,512.9386067116293,-0.008881963220123041
55,499.5081561831507,-0.00909904601731426
56,507.53093577526215,-0.008968112223310735
57,499.44648997762016,-0.009100067233487392
58,499.7058207720713,-0.009095774159672193
59,504.63062582237,-0.009015008849513725
60,503.58768879051615,-0.009031992765092103
61,506.0855835661314,-0.008991421730330445
62,498.84074245453144,-0.009110110844976534
63,502.57409521411967,-0.009048560262425124
64,494.38304921259294,-0.00918470919921571
65,502.31265660843343,-0.009052843421520199
66,499.8652539507476,-0.009093136844118284
67,498.1779273424644,-0.009121126099038167
68,495.74037346006196,-0.009161865684041988
69,493.73739953283615,-0.009195615391355938
70,497.4043858312426,-0.009134015235203893
71,495.7120268387798,-0.009162341590608108
72,502.1657060793101,-0.009055252698511172
73,498.88076545214193,-0.009109446558727991
74,497.82361220062165,-0.009127025357514019
75,503.1165213942938,-0.009039686587911027
76,503.5487992541632,-0.009032627307180262
77,507.0370370950153,-0.008976063828852975
78,506.5999104696701,-0.008983113194863616
79,506.80086659223423,-0.008979871081381926
80,508.35749190323924,-0.008954836413060035
81,501.2669609545649,-0.009070015716780996
82,516.1420659747375,-0.008831705503796836
83,514.1786414333664,-0.008862441136192032
84,505.8459303403728,-0.00899529838590029
85,503.4175873989505,-0.009034768886727797
86,502.23403137109904,-0.009054132335136768
87,499.6644791460419,-0.00909645827536099
88,495.5119126339643,-0.009165702680731327
89,502.8872998152868,-0.009043434352119215
90,504.0553985250687,-0.009024368345314067
91,501.6541065327867,-0.009063650466459152
92,499.73937796806973,-0.009095218935345057
93,497.6665501202943,-0.009129642843627672
94,495.25416474170356,-0.009170035413427036
95,498.3603250817907,-0.009118092194679156
96,495.9199704709096,-0.009158851609123237
97,499.88264135456427,-0.009092849317234586
98,492.8039231681269,-0.009211429369959272
99,495.3390707751622,-0.009168607693728677
100,491.9004310935445,-0.009226787271436741
