memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035571,90.562948
2,A,1,-0.033938,97.326723
3,A,2,-0.069313,22.137051
4,A,3,-0.040289,74.104134
5,A,4,-0.087230,7.319431
6,A,5,-0.067231,24.370442
7,A,6,-0.078470,13.718239
8,A,7,-0.093164,3.669052
9,B,8,-0.086563,7.761570
10,B,9,-0.084101,9.452207
11,B,10,-0.011875,371.058288
12,B,11,-0.083076,10.185958
13,B,12,-0.090443,5.283687
14,B,13,-0.081153,11.612171
15,B,14,-0.058092,36.070693
16,B,15,-0.082264,10.779767
