iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,67.482249,52.517751
1,PROBE,-0.3,200,67.173073,52.826927
2,SET,-1.7999999999999998,5000,68.306333,51.693667
3,SET,-1.7999999999999998,5000,62.344975,57.655025
4,SET,-1.7999999999999998,5000,68.475681,51.524319
5,SET,-1.7999999999999998,5000,87.958582,32.041418
6,SET,-0.7645162969937724,5000,60.743164,59.256836
7,SET,-0.8935744081636533,5000,49.345280,70.654720
8,SET,-1.354741236337117,5000,46.330603,73.669397
9,SET,-1.7999999999999998,5000,49.087039,70.912961
10,SET,-1.7999999999999998,5000,123.370729,-3.370729
11,RESET,0.3,419.6253358490763,16.301700,103.698300
12,SET,-0.3,788.0211798298151,27.103432,92.896568
13,SET,-0.3,1278.6802320861873,25.783250,94.216750
14,SET,-0.3,2557.3604641723755,24.714894,95.285106
15,SET,-0.30688325570068503,5000,25.062574,94.937426
16,SET,-0.6092529038408053,5000,34.282169,85.717831
17,SET,-0.918940500176271,5000,35.748130,84.251870
18,SET,-1.716526843872575,5000,38.391600,81.608400
