memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.033502,99.246826
2,A,1,-0.031821,107.129236
3,A,2,-0.042999,66.280986
4,A,3,-0.060759,32.292291
5,A,4,-0.088906,6.239328
6,A,5,-0.063658,28.545088
7,A,6,-0.078763,13.481540
8,A,7,-0.093125,3.691294
9,B,8,-0.086356,7.899702
10,B,9,-0.083833,9.642671
11,B,10,-0.011473,385.813080
12,B,11,-0.083150,10.132220
13,B,12,-0.090435,5.288209
14,B,13,-0.081015,11.717281
15,B,14,-0.057841,36.444050
16,B,15,-0.082261,10.782207
