memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.036146,88.328843
2,A,1,-0.037239,84.267502
3,A,2,-0.046624,57.239856
4,A,3,-0.050168,49.664673
5,A,4,-0.048051,54.057024
6,A,5,-0.035581,90.524890
7,A,6,-0.078563,13.643558
8,A,7,-0.071196,20.228529
9,B,8,-0.066331,25.379396
10,B,9,-0.050233,49.535515
11,B,10,-0.009181,494.584100
12,B,11,-0.075625,16.115665
13,B,12,-0.068607,22.878494
14,B,13,-0.076288,15.541175
15,B,14,-0.056085,39.150233
16,B,15,-0.064458,27.570147
