iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,7.793152,112.206848
1,PROBE,-0.3,200,8.682274,111.317726
2,SET,-1.5023951146311834,5000,203.269602,-83.269602
3,RESET,0.3,3840.5763391045907,12.317382,107.682618
4,SET,-0.3,3016.2684476134236,11.658779,108.341221
5,SET,-0.36195221371361086,5000,11.561272,108.438728
6,SET,-0.7237700314579496,5000,173.466189,-53.466189
7,RESET,0.3,2584.7511196515525,9.592684,110.407316
8,SET,-0.3,2626.077444777285,9.260381,110.739619
9,SET,-0.31512929337327417,5000,9.201509,110.798491
10,SET,-0.6302416986539885,5000,118.017201,1.982799
