memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.036183,88.186457
2,A,1,-0.037165,84.536793
3,A,2,-0.051064,47.916345
4,A,3,-0.050635,48.745090
5,A,4,-0.047986,54.197490
6,A,5,-0.070585,20.836442
7,A,6,-0.078148,13.980939
8,A,7,-0.071250,20.175468
9,B,8,-0.065948,25.817152
10,B,9,-0.049882,50.237160
11,B,10,-0.009050,502.468159
12,B,11,-0.075283,16.415737
13,B,12,-0.068872,22.598811
14,B,13,-0.075915,15.863266
15,B,14,-0.055553,40.004157
16,B,15,-0.064448,27.582415
