iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,30.958210,89.041790
1,PROBE,-0.3,200,51.232731,68.767269
2,SET,-0.3,678.3614491661251,47.092891,72.907109
3,SET,-0.3,1356.72289833225,60.115832,59.884168
4,SET,-0.3,1890.9850881102202,59.363875,60.636125
5,SET,-0.3,3781.9701762204395,57.056545,62.943455
6,SET,-0.4538364211464528,5000,73.598682,46.401318
7,SET,-0.4787777259550462,5000,88.459695,31.540305
8,SET,-0.4307228271917602,5000,80.647131,39.352869
9,SET,-0.7928584633124078,5000,116.178042,3.821958
10,SET,-0.3,758.0067843029921,117.465529,2.534471
11,SET,-0.3,751.9980035356366,120.480990,-0.480990
