pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.24410565650706928,0.5517005554332108,0.0943952722551382,True
"0,1",True,-0.32846527898692895,0.1946855641148496,-0.05304316912435256,False
"1,1",False,-0.05948638032680625,0.5140513368057759,-0.05438580039474686,False

memristor,initial_uS,post_init_uS,final_uS
M1,24.826398403817485,14.257022458235712,24.78659097624614
M2,78.98951612712841,78.71800777973787,78.67413368157237
M3,19.826917277137916,16.025179430012585,22.140673503148527
M4,15.730744389539737,7.0816785745159745,6.375492816648835
M5,3.2683279456927643,3.314769426979182,96.99621830303732
M6,3.406898215844966,3.2155255357162638,3.389217603249046
M7,9.886803914425085,7.923951599850774,18.502978563797946
M8,2.3944634902544397,2.296937595278841,3.941120555355342
M9,4.867506526305303,4.921060754458893,4.851512821236237
M10,6.688461571741784,6.063716172668186,6.687951788119484
M11,378.7529840806024,386.821267975341,379.28584888865805
M12,10.275743217697102,9.259053927583743,9.618846849407616
M13,21.19428350974086,16.738343411819486,5.480157832230561
M14,24.386175376921052,5.8112971469659875,30.765470284750922
M15,5.255490022174915,5.258903324105038,5.421693642896431
M16,261.0567854075322,14.440394403744238,11.523672334315249
