pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,-0.033124674634825435,-0.04309290806296332,0.0,False
"0,1",True,-0.09196224496456351,0.001715592786378714,0.04187211453952171,True
"1,1",False,-0.08751358245837025,-0.029836589280296446,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,10.913945859194017,10.782147020714156,9.249250158094815
M2,82.59576215828248,82.41120889257793,80.61609436883461
M3,7.535675340617576,6.670318541154661,7.258924364038265
M4,13.523352597502438,11.069434429011537,12.92666318193658
M5,4.028853651614472,4.014572271871143,4.091105181829221
M6,4.814324066831616,4.58127737430653,4.900833371929792
M7,12.391756647874331,9.110350478448964,9.98878588343359
M8,3.299679220389225,3.3974553119472355,3.2839003826972535
M9,10.565056623235865,9.673899951653546,11.62854683924018
M10,7.281893416404119,7.335133215409415,7.504069278459506
M11,444.0953582525987,446.67813144775124,442.5384629890066
M12,11.502419599362062,10.836301691064168,10.069979991602873
M13,14.412389364322488,5.876274110059895,10.385593460316164
M14,8.293734080114188,7.564317736546079,8.065668807022952
M15,10.356007503763067,10.330049963358935,10.700558794191457
M16,57.08522195017385,33.22415297821003,27.740953352232065
