memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035229,91.926733
2,A,1,-0.033463,99.420462
3,A,2,-0.067943,23.590594
4,A,3,-0.039529,76.488280
5,A,4,-0.087676,7.028099
6,A,5,-0.067586,23.979663
7,A,6,-0.078405,13.771671
8,A,7,-0.093156,3.673374
9,B,8,-0.086393,7.875388
10,B,9,-0.084118,9.440182
11,B,10,-0.012048,365.017191
12,B,11,-0.083157,10.127073
13,B,12,-0.090515,5.239233
14,B,13,-0.081175,11.595374
15,B,14,-0.058342,35.701712
16,B,15,-0.082326,10.734070
