iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,18.643855,101.356145
1,PROBE,-0.3,200,19.771377,100.228623
2,SET,-1.0667145925988126,5000,25.185083,94.814917
3,SET,-1.5,5000,28.852619,91.147381
4,SET,-1.5,5000,29.046398,90.953602
5,SET,-1.5,5000,29.417964,90.582036
6,SET,-1.5,5000,29.883282,90.116718
7,SET,-1.5,5000,29.832135,90.167865
8,SET,-1.5,5000,29.484563,90.515437
9,SET,-1.5,5000,29.801101,90.198899
10,SET,-1.5,5000,30.731144,89.268856
11,SET,-1.5,5000,30.693981,89.306019
12,SET,-1.5,5000,32.290047,87.709953
13,SET,-1.5,5000,35.108568,84.891432
14,SET,-1.5,5000,36.645646,83.354354
15,SET,-1.5,5000,123.251528,-3.251528
16,RESET,0.3,368.13568405616047,19.278562,100.721438
17,SET,-0.3,691.6172634254689,19.056305,100.943695
18,SET,-0.3,1383.2345268509378,19.349021,100.650979
19,SET,-0.3,2750.4710337616725,19.803847,100.196153
20,SET,-0.3270869958342032,5000,20.283620,99.716380
21,SET,-0.6476603604863673,5000,29.596002,90.403998
22,SET,-0.9773126796365258,5000,44.856693,75.143307
23,SET,-1.0482313719249667,5000,71.897857,48.102143
