pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,-0.03908070091744164,-0.14360257839892854,0.0,False
"0,1",True,-0.07307332510324387,-0.024116075135648465,0.0,False
"1,1",False,-0.08422919707444174,-0.11151072024214083,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,7.70840381152727,7.533729467691388,6.862997797314488
M2,80.45549307182985,80.37900843021752,80.20284076565797
M3,8.598270948204615,8.088693216845508,10.644047765940252
M4,15.588622456510489,11.574695038681494,15.772532227924057
M5,3.7810299074016136,3.5451388225450966,3.5204101787745117
M6,11.584805959254728,11.20371914923144,6.944274619879036
M7,11.248553123786449,8.948044352614673,11.728674064484993
M8,3.4403536587717487,3.4304174216012586,3.420541504216809
M9,32.27209793009268,10.74783977471293,9.501830335090528
M10,9.33720761189277,9.340585228590502,12.489195804928226
M11,448.1635251266067,447.907149454824,443.78996117519495
M12,10.968829120552781,11.396226296781045,10.735749750821654
M13,7.862259947304581,7.2843659803221135,8.119003078275316
M14,15.202736015186685,11.504754243568708,18.316731020358034
M15,11.2939282255995,10.958658843130111,11.10598874255235
M16,11.122513826399652,11.69524337436585,11.552442243221677
