memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.036017,88.822058
2,A,1,-0.035299,91.647181
3,A,2,-0.073241,18.268193
4,A,3,-0.045372,60.199309
5,A,4,-0.039806,75.609241
6,A,5,-0.069461,21.982356
7,A,6,-0.078482,13.708477
8,A,7,-0.050943,48.149355
9,B,8,-0.063880,28.271703
10,B,9,-0.038679,79.268255
11,B,10,-0.009298,487.725699
12,B,11,-0.045040,61.012933
13,B,12,-0.056170,39.014982
14,B,13,-0.073390,18.128798
15,B,14,-0.055904,39.439085
16,B,15,-0.052009,46.136725
