iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,17.586495,102.413505
1,PROBE,-0.3,200,19.322770,100.677230
2,SET,-0.6958155183787323,5000,37.685935,82.314065
3,SET,-0.799553450741609,5000,59.275737,60.724263
4,SET,-0.6943246373153885,5000,60.017392,59.982608
5,SET,-1.3339812338195955,5000,96.634990,23.365010
6,SET,-0.3,4663.011073429406,84.237961,35.762039
7,SET,-0.5595613288115286,5000,72.667146,47.332854
8,SET,-0.9237460485335872,5000,91.951518,28.048482
9,SET,-0.4855982242512556,5000,89.910682,30.089318
10,SET,-0.9320850101512453,5000,91.722385,28.277615
11,SET,-1.4758385823970106,5000,105.730149,14.269851
12,SET,-0.4333855194531867,5000,96.492670,23.507330
13,SET,-0.7378545734720743,5000,99.038897,20.961103
14,SET,-1.0390555591383914,5000,96.816968,23.183032
15,SET,-1.5,5000,97.259653,22.740347
16,SET,-1.5,5000,104.317993,15.682007
17,SET,-1.0065303757711377,5000,105.004215,14.995785
18,SET,-1.5,5000,97.754035,22.245965
19,SET,-1.3441222978757843,5000,91.973192,28.026808
