iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,21.158140,98.841860
1,PROBE,-0.3,200,20.421557,99.578443
2,SET,-1.6222765453525076,5000,195.880644,-75.880644
3,RESET,0.3,3913.922251510057,19.088540,100.911460
4,SET,-0.3,3126.2541126832325,20.113834,99.886166
5,SET,-0.36760386256445887,5000,19.284801,100.715199
6,SET,-0.7338464925965658,5000,30.856771,89.143229
7,SET,-1.0140507795200537,5000,41.745167,78.254833
8,SET,-1.2601147845379561,5000,100.309263,19.690737
9,SET,-0.3,2550.795296520003,103.542706,16.457294
10,SET,-0.3,3662.437476029997,103.295408,16.704592
11,SET,-0.43949249712359956,5000,108.743771,11.256229
12,SET,-0.40079125897169715,5000,104.197451,15.802549
13,SET,-0.7309325763488072,5000,111.073677,8.926323
14,SET,-0.40081858808122,5000,102.086374,17.913626
15,SET,-0.6859790644167499,5000,115.341915,4.658085
16,SET,-0.3,2208.6985755442797,116.048538,3.951462
17,SET,-0.3,3253.704748238781,120.123334,-0.123334
L1,relax,0.0,0,114.360028,5.639972
