pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.08703045039048142,-0.07866184486750513,0.0924658286478525,True
"0,1",True,-0.1098179786297105,0.010478468143699897,0.6916676496954436,True
"1,1",True,-0.009240849930998614,-0.04251416012225392,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,12.4279653004234,8.87356038656022,11.707784853556443
M2,81.08983613659889,81.71841416398703,84.08703773551767
M3,7.391912827799273,7.0205014927309115,8.766764783668197
M4,7.274826670480583,7.033391209978718,236.88793395054785
M5,2.9594612957754403,2.788902265351669,3.3347501298799496
M6,4.704569617907729,4.259577404215289,4.300705855699744
M7,181.74097847168755,16.815392064786096,16.519918912030825
M8,5.382128837335092,5.146049720158977,5.015491184777596
M9,6.208233847506084,6.159879553121006,5.869596297321062
M10,42.91889854432227,8.017746581098374,8.042102793370521
M11,465.6253291114127,461.9020110883579,471.2540467224856
M12,7.59546366765564,7.580609676583642,7.890240166496324
M13,5.445168156416144,5.068503312672226,10.675618127319945
M14,62.28994088367296,9.318938492208293,9.491520689636607
M15,10.310244838693846,9.642370651170717,9.970008779527353
M16,20.716145792002788,8.255712430793048,8.2928075703477
