iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,64.145437,55.854563
1,SET,-0.5,1000,61.115960,58.884040
2,SET,-0.5,1000,61.450273,58.549727
3,SET,-0.5,1000,62.362984,57.637016
4,SET,-0.5,1000,63.461198,56.538802
5,SET,-0.5,1000,63.643389,56.356611
6,SET,-0.5,1000,63.520184,56.479816
7,SET,-0.5,1000,62.874687,57.125313
8,SET,-0.5,1000,64.051074,55.948926
9,SET,-0.5,1000,65.557548,54.442452
10,SET,-0.5,1000,66.575676,53.424324
11,SET,-0.5,1000,65.958453,54.041547
12,SET,-0.5,1000,64.610405,55.389595
13,SET,-0.5,1000,63.401660,56.598340
14,SET,-0.5,1000,62.474878,57.525122
15,SET,-0.5,1000,65.959893,54.040107
16,SET,-0.5,1000,64.660340,55.339660
17,SET,-0.5,1000,68.007427,51.992573
18,SET,-0.5,1000,69.419550,50.580450
19,SET,-0.5,1000,66.675075,53.324925
20,SET,-0.5,1000,68.724977,51.275023
21,SET,-0.5,1000,65.959093,54.040907
22,SET,-0.5,1000,68.453849,51.546151
23,SET,-0.5,1000,68.687147,51.312853
24,SET,-0.5,1000,69.963745,50.036255
25,SET,-0.5,1000,68.786710,51.213290
26,SET,-0.5,1000,68.221799,51.778201
27,SET,-0.5,1000,70.561990,49.438010
28,SET,-0.5,1000,66.836477,53.163523
29,SET,-0.5,1000,67.865954,52.134046
30,SET,-0.5,1000,71.603727,48.396273
31,SET,-0.5,1000,72.388108,47.611892
32,SET,-0.5,1000,70.613639,49.386361
33,SET,-0.5,1000,68.713931,51.286069
34,SET,-0.5,1000,71.170923,48.829077
35,SET,-0.5,1000,78.393373,41.606627
36,SET,-0.5,1000,73.187671,46.812329
37,SET,-0.5,1000,72.620139,47.379861
38,SET,-0.5,1000,74.158924,45.841076
39,SET,-0.5,1000,72.324536,47.675464
40,SET,-0.5,1000,77.719697,42.280303
41,SET,-0.5,1000,74.651997,45.348003
42,SET,-0.5,1000,72.808236,47.191764
43,SET,-0.5,1000,71.558264,48.441736
44,SET,-0.5,1000,75.365054,44.634946
45,SET,-0.5,1000,70.980427,49.019573
