memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.033733,98.221444
2,A,1,-0.033158,100.795216
3,A,2,-0.052633,44.997608
4,A,3,-0.061686,31.055976
5,A,4,-0.088121,6.739937
6,A,5,-0.066906,24.731324
7,A,6,-0.078908,13.365015
8,A,7,-0.093173,3.663583
9,B,8,-0.086273,7.955762
10,B,9,-0.083624,9.791560
11,B,10,-0.011729,376.306599
12,B,11,-0.083131,10.146069
13,B,12,-0.090393,5.313860
14,B,13,-0.080888,11.813961
15,B,14,-0.058140,35.999755
16,B,15,-0.082031,10.952483
