pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.4713669920487704,-0.2973623798476661,-0.003028122193534169,False
"0,1",True,-0.24267653149813959,-0.039950216393537345,0.0,False
"1,1",False,0.1919046329685506,-0.2743987388113475,-0.005678871121008247,False

memristor,initial_uS,post_init_uS,final_uS
M1,32.63698767980686,12.721993900098996,61.86833481690133
M2,75.02707169982054,74.71550548657267,75.13976611601794
M3,7.125134319343858,5.265106014582458,6.353271745878391
M4,15.160443775385016,7.625080914376138,15.645628286843026
M5,2.8334172544645924,2.727486359642913,3.147136782549545
M6,3.0996789555004085,2.7521225325979715,3.210482797924133
M7,241.81287670835246,6.283649017301155,5.378743677781172
M8,28.37309699545025,4.684936578161437,28.331345077452944
M9,4.137609195036625,4.238398268183214,4.210106303072213
M10,80.05578354696334,5.267979763303364,27.89200791833144
M11,339.4406767461524,347.32662051172866,350.76079637166976
M12,8.873372297823519,10.109888118767305,8.32423268408813
M13,37.71364313393224,20.274132436920443,27.499876458332032
M14,5.93984345546733,4.607982917298498,5.926947453823901
M15,4.725902332572737,4.632563331462008,5.967229365749654
M16,13.840844876223223,14.487951695550269,14.599719692577157
