memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035681,90.128690
2,A,1,-0.034356,95.533861
3,A,2,-0.073339,18.176902
4,A,3,-0.043770,64.234053
5,A,4,-0.031061,110.973815
6,A,5,-0.061861,30.825882
7,A,6,-0.065812,25.973947
8,A,7,-0.093018,3.753148
9,B,8,-0.086167,8.026762
10,B,9,-0.083831,9.644025
11,B,10,-0.011559,382.561251
12,B,11,-0.082966,10.265376
13,B,12,-0.090068,5.513334
14,B,13,-0.080770,11.903975
15,B,14,-0.056352,38.728640
16,B,15,-0.081713,11.189678
