memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035456,91.020540
2,A,1,-0.035129,92.330527
3,A,2,-0.073148,18.354527
4,A,3,-0.045711,59.383629
5,A,4,-0.039817,75.574939
6,A,5,-0.069895,21.535819
7,A,6,-0.078729,13.508939
8,A,7,-0.050234,49.533599
9,B,8,-0.063184,29.133669
10,B,9,-0.038314,80.501856
11,B,10,-0.008972,507.259245
12,B,11,-0.045271,60.446056
13,B,12,-0.056717,38.156500
14,B,13,-0.072982,18.510456
15,B,14,-0.055114,40.720699
16,B,15,-0.054112,42.400973
