iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,35.456544,84.543456
1,PROBE,-0.3,200,35.351688,84.648312
2,SET,-1.7999999999999998,5000,36.062578,83.937422
3,SET,-1.7999999999999998,5000,66.148492,53.851508
4,SET,-1.017600405232621,5000,40.492455,79.507545
5,SET,-1.1486192003083637,5000,43.438049,76.561951
6,SET,-1.7999999999999998,5000,36.834052,83.165948
7,SET,-1.7999999999999998,5000,58.270434,61.729566
8,SET,-1.2077672959526193,5000,48.431574,71.568426
9,SET,-1.7059053108164464,5000,60.118164,59.881836
10,SET,-1.4802333864223225,5000,57.645797,62.354203
11,SET,-1.7999999999999998,5000,64.218364,55.781636
12,SET,-1.7999999999999998,5000,65.969686,54.030314
13,SET,-1.7999999999999998,5000,64.088899,55.911101
14,SET,-1.7999999999999998,5000,67.445918,52.554082
15,SET,-1.7999999999999998,5000,67.809195,52.190805
16,SET,-1.7999999999999998,5000,64.906895,55.093105
17,SET,-1.7999999999999998,5000,71.352376,48.647624
18,SET,-1.7999999999999998,5000,65.875987,54.124013
19,SET,-1.7999999999999998,5000,71.936523,48.063477
20,SET,-1.7999999999999998,5000,69.913422,50.086578
21,SET,-1.7999999999999998,5000,76.892303,43.107697
22,SET,-1.7999999999999998,5000,76.184561,43.815439
23,SET,-1.7999999999999998,5000,76.371845,43.628155
24,SET,-1.7999999999999998,5000,69.256242,50.743758
25,SET,-1.7999999999999998,5000,80.771940,39.228060
26,SET,-1.4821657225156788,5000,76.185288,43.814712
27,SET,-1.7999999999999998,5000,104.408489,15.591511
28,SET,-0.3,4521.043231334668,88.916995,31.083005
29,SET,-0.5425251877601601,5000,87.688824,32.311176
30,SET,-1.0527023788076117,5000,88.237514,31.762486
31,SET,-1.7999999999999998,5000,116.721562,3.278438
32,SET,-0.3,982.6738649790416,96.555420,23.444580
33,SET,-0.3,1965.3477299580832,88.282613,31.717387
34,SET,-0.3,3930.6954599161654,80.411749,39.588251
35,SET,-0.47168345518993987,5000,80.228022,39.771978
36,SET,-0.9408795574242302,5000,93.887684,26.112316
37,SET,-0.59479144080252,5000,91.099663,28.900337
38,SET,-1.0865802085201133,5000,106.347584,13.652416
39,SET,-0.3526665991619585,5000,98.578590,21.421410
40,SET,-0.6631131784986929,5000,110.569257,9.430743
41,SET,-0.3,4349.580984166767,108.165012,11.834988
42,SET,-0.521949718100012,5000,111.758751,8.241249
43,SET,-0.4756345362292044,5000,113.559207,6.440793
44,SET,-0.5521853148482253,5000,105.100052,14.899948
45,SET,-0.7475883285164221,5000,113.749515,6.250485
46,SET,-0.3,4272.764231585335,111.099731,8.900269
47,SET,-0.5127317077902402,5000,101.460913,18.539087
48,SET,-0.749236815321925,5000,107.115422,12.884578
49,SET,-0.5911397285848491,5000,121.452356,-1.452356
