pattern,target,h1,h2,y,predicted
"0,0",False,0.0,0.0,0.0,False
"1,0",True,0.2555231300825432,-0.22486866630063163,0.05754244555237868,True
"0,1",True,-0.30216517159658673,0.17018949335422728,-0.7994376553124297,False
"1,1",False,-0.027369102609652984,-0.03094554073158045,0.0,False

memristor,initial_uS,post_init_uS,final_uS
M1,46.81291020272075,13.961741263422429,26.000998284818753
M2,76.84447867504898,77.41954050580145,77.9837499185858
M3,27.00071218972988,15.03880517895993,19.569083969253086
M4,15.793977550153333,7.950918799072936,15.76664204255851
M5,3.373046563022352,3.1306079169547467,3.2680675438110733
M6,3.337417236848812,3.1229912916779288,3.327780220952696
M7,47.15927471051126,7.630113702211349,8.437549744496538
M8,2.2570263627241385,2.176589577774994,2.45168666433899
M9,4.651990402897868,4.5920071636493445,4.673765132203175
M10,6.973127005509061,5.885794493673414,6.630548319122971
M11,373.250064914432,369.7583780234319,377.75379154805887
M12,9.436943537219852,9.205388824754435,10.793215684112784
M13,20.434719004306324,17.18040363923506,19.788007206203147
M14,118.70992469030199,5.726112053079868,29.15280192967438
M15,5.208231541420108,5.194349145456974,5.16616776818055
M16,219.17666205177358,16.45060482213704,276.94580130454915
