iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,50.563464,69.436536
1,PROBE,-0.15,200,50.129057,69.870943
2,SET,-0.8,5000,79.116985,40.883015
3,SET,-0.30779154421185073,5000,79.451260,40.548740
4,SET,-0.600475406110261,5000,83.838829,36.161171
5,SET,-0.7473000357674966,5000,79.149213,40.850787
6,SET,-0.8,5000,84.662613,35.337387
7,SET,-0.8,5000,86.095221,33.904779
8,SET,-0.8,5000,92.585550,27.414450
9,SET,-0.8,5000,89.683052,30.316948
10,SET,-0.8,5000,92.709263,27.290737
11,SET,-0.8,5000,90.294908,29.705092
12,SET,-0.8,5000,96.701236,23.298764
13,SET,-0.7465338867837055,5000,93.629746,26.370254
14,SET,-0.8,5000,91.473972,28.526028
15,SET,-0.8,5000,91.446257,28.553743
16,SET,-0.8,5000,79.684872,40.315128
17,SET,-0.8,5000,80.923117,39.076883
18,SET,-0.8,5000,78.232152,41.767848
19,SET,-0.8,5000,81.191202,38.808798
20,SET,-0.8,5000,80.819124,39.180876
