iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,77.736660,42.263340
1,PROBE,-0.3,200,75.421150,44.578850
2,SET,-0.3,3850.4560358183576,74.349136,45.650864
3,SET,-0.4620547242982028,5000,74.466298,45.533702
4,SET,-0.8,5000,76.270335,43.729665
5,SET,-0.8,5000,78.570350,41.429650
6,SET,-0.8,5000,94.089552,25.910448
7,SET,-0.74598744813286,5000,94.541118,25.458882
8,SET,-0.8,5000,104.134681,15.865319
9,SET,-0.6333752153932427,5000,90.262734,29.737266
10,SET,-0.8,5000,96.159500,23.840500
11,SET,-0.8,5000,101.412723,18.587277
12,SET,-0.8,5000,98.391041,21.608959
13,SET,-0.8,5000,98.138620,21.861380
14,SET,-0.8,5000,100.925817,19.074183
15,SET,-0.8,5000,99.079590,20.920410
16,SET,-0.8,5000,101.840859,18.159141
