iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,5.353543,114.646457
1,PROBE,-0.3,200,5.426415,114.573585
2,SET,-1.7999999999999998,5000,115.085811,4.914189
3,SET,-0.3,440.8088080747855,104.061239,15.938761
4,SET,-0.3,881.6176161495708,81.035313,38.964687
5,SET,-0.3,1763.2352322991417,66.748157,53.251843
6,SET,-0.3,3526.4704645982833,69.251873,50.748127
7,SET,-0.38517078349261114,5000,68.450981,51.549019
8,SET,-0.7669586217265111,5000,81.558973,38.441027
9,SET,-0.6932209080494406,5000,78.444192,41.555808
10,SET,-1.2624156062677274,5000,96.119683,23.880317
11,SET,-0.520064432045953,5000,93.445361,26.554639
12,SET,-0.968574678669006,5000,94.845309,25.154691
13,SET,-1.568115761897874,5000,112.550112,7.449888
14,SET,-0.3,3308.530910757986,110.590989,9.409011
15,SET,-0.39702370929095826,5000,112.280676,7.719324
16,SET,-0.5263566161810225,5000,112.832747,7.167253
17,SET,-0.868451957025837,5000,109.904885,10.095115
18,SET,-1.1209043653576132,5000,105.138123,14.861877
19,SET,-1.1939442126841135,5000,109.299107,10.700893
20,SET,-0.8132100170356914,5000,106.469287,13.530713
21,SET,-1.197855400389509,5000,107.789026,12.210974
22,SET,-1.5560425789090568,5000,113.601987,6.398013
23,SET,-0.4700275963081484,5000,109.298151,10.701849
24,SET,-0.7655630120345079,5000,109.285924,10.714076
25,SET,-1.5284192633415858,5000,118.699331,1.300669
