memristor,branch,dio_bit,V_node_V,G_uS
1,A,0,-0.035737,89.911265
2,A,1,-0.037108,84.740921
3,A,2,-0.032275,104.918116
4,A,3,-0.050558,48.896019
5,A,4,-0.050611,48.792785
6,A,5,-0.070975,20.446845
7,A,6,-0.078255,13.893577
8,A,7,-0.071344,20.082516
9,B,8,-0.065902,25.870420
10,B,9,-0.049777,50.447816
11,B,10,-0.009173,495.079719
12,B,11,-0.075861,15.910051
13,B,12,-0.067778,23.770705
14,B,13,-0.076245,15.578223
15,B,14,-0.056052,39.202587
16,B,15,-0.064552,27.456819
