iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,147.116357,-27.116357
1,RESET,0.5,1000,15.036990,104.963010
2,SET,-0.5,1000,97.571715,22.428285
3,SET,-0.5,1000,132.541758,-12.541758
4,RESET,0.1,500,8.663421,111.336579
5,SET,-0.5,1000,57.177914,62.822086
6,SET,-0.5,1000,61.298410,58.701590
7,SET,-0.5,1000,62.261765,57.738235
8,SET,-0.5,1000,57.056449,62.943551
9,SET,-0.5,1000,60.170377,59.829623
10,SET,-0.5,1000,58.670168,61.329832
11,SET,-0.5,1000,60.668141,59.331859
12,SET,-0.5,1000,57.803251,62.196749
13,SET,-0.5,1000,59.644261,60.355739
