iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,19.337248,100.662752
1,PROBE,-0.3,200,18.797178,101.202822
2,SET,-1.7999999999999998,5000,22.413135,97.586865
3,SET,-1.7999999999999998,5000,31.500737,88.499263
4,SET,-1.7999999999999998,5000,38.453360,81.546640
5,SET,-1.7999999999999998,5000,47.027235,72.972765
6,SET,-1.7999999999999998,5000,68.509614,51.490386
7,SET,-1.0397449164847572,5000,60.609337,59.390663
8,SET,-1.5658710775741296,5000,67.113714,52.886286
9,SET,-1.774426215963117,5000,77.030604,42.969396
10,SET,-1.3671235896347185,5000,73.445814,46.554186
11,SET,-1.7999999999999998,5000,80.549242,39.450758
12,SET,-1.7391446204646848,5000,92.359555,27.640445
13,SET,-0.890884205979006,5000,89.617809,30.382191
14,SET,-1.5128685598334504,5000,93.550868,26.449132
15,SET,-1.5936714013146438,5000,88.178273,31.821727
16,SET,-1.7999999999999998,5000,52.296801,67.703199
17,SET,-0.9893976527139836,5000,49.576039,70.423961
18,SET,-1.7999999999999998,5000,38.367251,81.632749
19,SET,-1.7999999999999998,5000,127.207325,-7.207325
20,RESET,0.3,718.8862770323877,19.901160,100.098840
21,SET,-0.3,1256.7896230539432,21.753882,98.246118
22,SET,-0.3,2422.2228641277734,23.589380,96.410620
23,SET,-0.3,4666.751379379845,24.086416,95.913584
24,SET,-0.5542656134575652,5000,71.858950,48.141050
25,SET,-0.3,4829.2490983151,65.585933,54.414067
26,SET,-0.579509891797812,5000,70.808453,49.191547
27,SET,-0.8839046431843076,5000,98.908108,21.091892
28,SET,-0.3,4708.492921535415,98.712355,21.287645
29,SET,-0.5650191505842498,5000,103.909300,16.090700
30,SET,-0.5851256659680102,5000,107.118998,12.881002
31,SET,-0.674423532880311,5000,106.343219,13.656781
32,SET,-1.2595481149638472,5000,134.753779,-14.753779
33,RESET,0.3,4659.5773826742825,19.509808,100.490192
34,SET,-0.43223070715084116,5000,18.970351,101.029649
35,SET,-0.862431658433529,5000,19.281305,100.718695
36,SET,-1.7044730934672525,5000,27.533049,92.466951
37,SET,-1.7999999999999998,5000,33.732086,86.267914
38,SET,-1.7999999999999998,5000,27.930949,92.069051
39,SET,-1.7999999999999998,5000,23.964093,96.035907
40,SET,-1.7999999999999998,5000,22.699687,97.300313
41,SET,-1.7999999999999998,5000,21.955388,98.044612
42,SET,-1.7999999999999998,5000,21.019788,98.980212
43,SET,-1.7999999999999998,5000,35.860062,84.139938
44,SET,-1.7999999999999998,5000,36.024207,83.975793
L1,relax,0.0,0,40.346760,79.653240
L1,SET,-1.7999999999999998,5000,35.336729,84.663271
L1,LOCK,-0.6,200,36.190159,83.809841
