iter,action,pulse_v,pulse_us,G_uS,error_uS
0,init,0.0,0,329.601558,-209.601558
1,PROBE,0.3,200,330.095381,-210.095381
2,RESET,1.7999999999999998,5000,337.030742,-217.030742
3,RESET,1.7999999999999998,5000,337.179612,-217.179612
4,RESET,1.7999999999999998,5000,339.126892,-219.126892
5,RESET,1.7999999999999998,5000,343.666275,-223.666275
6,RESET,1.7999999999999998,5000,340.098843,-220.098843
7,RESET,1.7999999999999998,5000,341.625964,-221.625964
8,RESET,1.7999999999999998,5000,342.081465,-222.081465
9,RESET,1.7999999999999998,5000,341.048673,-221.048673
10,RESET,1.7999999999999998,5000,340.837435,-220.837435
11,RESET,1.7999999999999998,5000,341.642995,-221.642995
12,RESET,1.7999999999999998,5000,343.497330,-223.497330
13,RESET,1.7999999999999998,5000,337.130273,-217.130273
14,RESET,1.7999999999999998,5000,342.654169,-222.654169
15,RESET,1.7999999999999998,5000,338.827466,-218.827466
16,RESET,1.7999999999999998,5000,340.261257,-220.261257
17,RESET,1.7999999999999998,5000,340.792914,-220.792914
18,RESET,1.7999999999999998,5000,343.976280,-223.976280
19,RESET,1.7999999999999998,5000,337.159399,-217.159399
20,RESET,1.7999999999999998,5000,346.175937,-226.175937
21,RESET,1.7999999999999998,5000,341.810046,-221.810046
22,RESET,1.7999999999999998,5000,342.280623,-222.280623
23,RESET,1.7999999999999998,5000,343.811068,-223.811068
24,RESET,1.7999999999999998,5000,341.011076,-221.011076
25,RESET,1.7999999999999998,5000,345.744415,-225.744415
26,RESET,1.7999999999999998,5000,340.018894,-220.018894
